Campaign performance
"October 22, 2025 - April 23, 2026"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (rank),Search lost IS (budget)
Sales-Search-1,Enabled,Search,2026-02-08,3,38,7.89%,USD,5.98,17.93,13.33%,80.00%,0.00,0,0,0.00%,16.67%,83.33%,0.00%
Sales-Search-1,Enabled,Search,2026-02-26,3,48,6.25%,USD,10.15,30.44,7.69%,84.62%,1.00,0,30.44,33.33%,13.06%,86.94%,0.00%
Sales-Search-1,Enabled,Search,2026-02-28,3,29,10.34%,USD,8.02,24.05,8.33%,91.67%,0.00,0,0,0.00%,10.59%,89.41%,0.00%
Sales-Search-1,Enabled,Search,2026-03-19,3,78,3.85%,USD,7.27,21.82,7.69%,80.00%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-24,2,38,5.26%,USD,4.98,9.96,10.81%,75.68%,0.00,0,0,0.00%,12.21%,27.72%,60.07%
Sales-Search-1,Enabled,Search,2026-01-25,2,40,5.00%,USD,5.33,10.65,0.00%,78.79%,0.00,0,0,0.00%,14.35%,85.65%,0.00%
Sales-Search-1,Enabled,Search,2026-03-01,2,36,5.56%,USD,2.40,4.79,14.81%,88.89%,0.00,0,0,0.00%,12.11%,87.89%,0.00%
Sales-Search-1,Enabled,Search,2026-03-21,2,40,5.00%,USD,6.36,12.72,6.06%,84.85%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-04,2,46,4.35%,USD,5.49,10.98,7.89%,76.32%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-31,1,2,50.00%,USD,0.63,0.63,0.00%,50.00%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-02,1,1,100.00%,USD,1.23,1.23,0.00%,100.00%,0.50,0,2.46,50.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-03,1,6,16.67%,USD,1.41,1.41,0.00%,100.00%,0.50,0,2.82,50.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-17,1,47,2.13%,USD,2.93,2.93,28.57%,71.43%,0.00,0,0,0.00%,24.31%,75.69%,0.00%
Sales-Search-1,Enabled,Search,2026-01-31,1,58,1.72%,USD,1.01,1.01,2.08%,83.33%,0.00,0,0,0.00%,19.05%,80.95%,0.00%
Sales-Search-1,Enabled,Search,2026-02-23,1,42,2.38%,USD,8.34,8.34,16.13%,83.87%,0.00,0,0,0.00%,10.10%,89.90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-20,1,84,1.19%,USD,6.49,6.49,4.41%,82.35%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-11,1,92,1.09%,USD,3.25,3.25,18.57%,82.86%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-27,0,8,0.00%,USD,0,0.00,0.00%,83.33%,0.00,0,0,0,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-28,0,5,0.00%,USD,0,0.00,20.00%,80.00%,0.00,0,0,0,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-29,0,6,0.00%,USD,0,0.00,0.00%,50.00%,0.00,0,0,0,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-30,0,1,0.00%,USD,0,0.00,0.00%,100.00%,0.00,0,0,0,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-01,0,5,0.00%,USD,0,0.00,0.00%,25.00%,0.00,0,0,0,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-04,0,0,0,USD,0,0.00,0,0,0.00,0,0,0,< 10%,> 90%,0.00%
