Campaign performance
"October 22, 2025 - April 23, 2026"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (rank),Search lost IS (budget)
Sales-Search-1,Enabled,Search,2025-11-15,13,136,9.56%,USD,5.99,77.90,21.00%,76.00%,0.00,0,0,0.00%,14.75%,85.25%,0.00%
Sales-Search-1,Enabled,Search,2025-11-21,13,205,6.34%,USD,5.33,69.25,20.38%,74.52%,2.00,0,34.62,15.38%,10.48%,89.52%,0.00%
Sales-Search-1,Enabled,Search,2025-11-26,13,333,3.90%,USD,6.90,89.66,33.05%,74.68%,0.00,0,0,0.00%,13.11%,86.89%,0.00%
Sales-Search-1,Enabled,Search,2025-12-05,13,135,9.63%,USD,7.00,90.98,7.27%,74.55%,3.01,0,30.27,23.12%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-15,13,200,6.50%,USD,6.25,81.31,11.92%,80.79%,2.00,0,40.66,15.38%,10.87%,89.13%,0.00%
Sales-Search-1,Enabled,Search,2025-12-22,13,210,6.19%,USD,10.23,133.05,16.07%,69.64%,2.50,0,53.22,19.23%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-02,13,307,4.23%,USD,4.68,60.82,19.03%,72.57%,1.00,0,60.82,7.69%,14.65%,85.35%,0.00%
Sales-Search-1,Enabled,Search,2026-01-21,13,97,13.40%,USD,6.76,87.93,13.16%,73.68%,3.50,0,25.12,26.92%,21.53%,78.47%,0.00%
Sales-Search-1,Enabled,Search,2026-01-27,13,149,8.72%,USD,6.88,89.48,9.48%,80.17%,1.00,0,89.48,7.69%,21.97%,78.03%,0.00%
Sales-Search-1,Enabled,Search,2026-02-03,13,136,9.56%,USD,13.77,178.98,11.22%,87.76%,1.00,0,178.98,7.69%,19.15%,80.85%,0.00%
Sales-Search-1,Enabled,Search,2026-02-04,13,109,11.93%,USD,10.32,134.15,12.64%,81.61%,0.00,0,0,0.00%,17.78%,82.22%,0.00%
Sales-Search-1,Enabled,Search,2026-04-06,13,159,8.18%,USD,6.01,78.16,11.67%,82.50%,0.00,0,0,0.00%,11.31%,88.69%,0.00%
Sales-Search-1,Enabled,Search,2026-04-07,13,215,6.05%,USD,6.37,82.79,22.00%,84.00%,2.00,0,41.39,15.38%,11.80%,88.20%,0.00%
Sales-Search-1,Enabled,Search,2026-04-08,13,130,10.00%,USD,11.22,145.81,15.09%,82.08%,1.00,0,145.81,7.69%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-16,13,235,5.53%,USD,10.34,134.43,24.22%,83.23%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-19,12,163,7.36%,USD,5.89,70.64,11.36%,74.24%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-22,12,104,11.54%,USD,6.00,71.97,12.99%,76.62%,1.00,0,71.97,8.33%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-09,12,188,6.38%,USD,7.63,91.54,9.80%,77.12%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-19,12,105,11.43%,USD,7.96,95.52,6.49%,76.62%,0.00,0,0,0.00%,32.49%,67.51%,0.00%
Sales-Search-1,Enabled,Search,2026-02-12,12,124,9.68%,USD,10.12,121.39,16.13%,81.72%,1.00,0,121.39,8.33%,17.95%,82.05%,0.00%
Sales-Search-1,Enabled,Search,2026-02-19,12,89,13.48%,USD,8.97,107.63,14.06%,90.63%,1.00,0,107.63,8.33%,15.02%,84.98%,0.00%
Sales-Search-1,Enabled,Search,2026-03-06,12,143,8.39%,USD,4.08,48.95,13.91%,77.39%,0.00,0,0,0.00%,24.84%,75.16%,0.00%
Sales-Search-1,Enabled,Search,2026-03-17,12,138,8.70%,USD,10.04,120.52,11.21%,83.18%,2.50,0,48.21,20.83%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-31,12,140,8.57%,USD,9.91,118.97,22.33%,78.64%,0.50,0,237.93,4.17%,10.38%,89.62%,0.00%
Sales-Search-1,Enabled,Search,2025-11-12,11,144,7.64%,USD,5.11,56.25,10.00%,69.09%,1.00,0,56.25,9.09%,10.13%,89.87%,0.00%
Sales-Search-1,Enabled,Search,2025-11-14,11,181,6.08%,USD,4.98,54.78,11.51%,79.14%,0.00,0,0,0.00%,13.63%,86.37%,0.00%
Sales-Search-1,Enabled,Search,2025-11-23,11,145,7.59%,USD,7.48,82.28,13.51%,81.08%,1.67,0,49.37,15.15%,11.78%,88.22%,0.00%
Sales-Search-1,Enabled,Search,2025-12-02,11,156,7.05%,USD,8.34,91.78,10.74%,80.17%,3.00,0,30.59,27.27%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-03,11,127,8.66%,USD,5.56,61.18,7.69%,75.96%,1.00,0,61.18,9.09%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-16,11,223,4.93%,USD,7.04,77.44,6.83%,74.53%,1.00,0,77.44,9.09%,11.24%,88.76%,0.00%
Sales-Search-1,Enabled,Search,2025-12-20,11,124,8.87%,USD,10.70,117.67,22.34%,79.79%,1.50,0,78.45,13.64%,11.02%,88.98%,0.00%
Sales-Search-1,Enabled,Search,2026-01-09,11,171,6.43%,USD,5.69,62.56,18.25%,61.31%,0.00,0,0,0.00%,13.63%,86.37%,0.00%
Sales-Search-1,Enabled,Search,2026-02-10,11,82,13.41%,USD,11.51,126.60,24.59%,90.16%,1.44,0,87.87,13.10%,13.68%,86.32%,0.00%
Sales-Search-1,Enabled,Search,2026-02-20,11,89,12.36%,USD,8.23,90.58,12.50%,87.50%,2.00,0,45.29,18.18%,17.48%,82.52%,0.00%
Sales-Search-1,Enabled,Search,2026-03-09,11,75,14.67%,USD,6.15,67.70,11.11%,84.13%,1.00,0,67.70,9.09%,16.45%,83.55%,0.00%
Sales-Search-1,Enabled,Search,2026-03-25,11,136,8.09%,USD,9.22,101.38,10.81%,84.68%,1.00,0,101.38,9.09%,< 10%,> 90%,0.00%
