campaign.name,campaign.status,ad_group.name,ad_group.status,ad_group_criterion.criterion_id,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.negative,ad_group_criterion.cpc_bid_micros,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,ad_group_criterion.approval_status
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2300535901573,PAUSED,ELIGIBLE,False,0,10000,new york pllc requirements,BROAD,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2306193224398,PAUSED,ELIGIBLE,False,0,10000,pllc application ny,BROAD,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2427501938611,ENABLED,ELIGIBLE,False,0,10000,pllc in ny,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2429437086184,ENABLED,ELIGIBLE,False,0,10000,pllc nyc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2459981943016,ENABLED,ELIGIBLE,False,0,10000,pllc formation in ny,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2459981943056,PAUSED,ELIGIBLE,False,0,10000,new york pllc requirements,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2460408080306,ENABLED,ELIGIBLE,False,0,10000,my pllc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2461083289131,ENABLED,ELIGIBLE,False,0,10000,start pllc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2461084230171,ENABLED,ELIGIBLE,False,0,10000,form a pllc in ny,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2461187962928,ENABLED,ELIGIBLE,False,0,10000,pllc ny,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2462203474059,ENABLED,ELIGIBLE,False,0,10000,pllc formation in new york,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2468373124224,ENABLED,ELIGIBLE,False,0,10000,get pllc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2468373167424,ENABLED,ELIGIBLE,False,0,10000,get a pllc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2471709032877,PAUSED,ELIGIBLE,False,0,10000,nys pllc requirements,BROAD,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2484375855794,ENABLED,ELIGIBLE,False,0,10000,pllc nys,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2486793022251,ENABLED,ELIGIBLE,False,0,10000,pllc application ny,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2487783774458,ENABLED,ELIGIBLE,False,0,10000,nypllc,PHRASE,APPROVED
Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,2487783774618,ENABLED,ELIGIBLE,False,0,10000,nypllc,EXACT,APPROVED
