campaign.name,campaign.status,ad_group.name,ad_group.status,ad_group_criterion.criterion_id,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.negative,ad_group_criterion.cpc_bid_micros,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,ad_group_criterion.approval_status
01_Core_Exact_NY,ENABLED,Service-Intent,ENABLED,2460671104039,ENABLED,ELIGIBLE,False,0,10000,pllc formation service ny,EXACT,APPROVED
01_Core_Exact_NY,ENABLED,Service-Intent,ENABLED,2492815173000,ENABLED,ELIGIBLE,False,0,10000,pllc formation services new york,EXACT,APPROVED
01_Core_Exact_NY,ENABLED,Service-Intent,ENABLED,2492815173040,ENABLED,RARELY_SERVED,False,0,10000,best pllc formation service,EXACT,APPROVED
01_Core_Exact_NY,ENABLED,Service-Intent,ENABLED,2492815173080,ENABLED,RARELY_SERVED,False,0,10000,pllc formation company,EXACT,APPROVED
02_Professions_NY,PAUSED,Architects,ENABLED,2492466822690,ENABLED,RARELY_SERVED,False,0,10000,architect pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Architects,ENABLED,2492804880395,ENABLED,ELIGIBLE,False,0,10000,architecture pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Attorneys,ENABLED,818743638210,ENABLED,ELIGIBLE,False,0,10000,law pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Attorneys,ENABLED,821619542389,ENABLED,ELIGIBLE,False,0,10000,law firm pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Attorneys,ENABLED,2490119862387,ENABLED,ELIGIBLE,False,0,10000,attorney pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,CPAs,ENABLED,1219987750984,ENABLED,ELIGIBLE,False,0,10000,cpa pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,CPAs,ENABLED,2492709545028,ENABLED,RARELY_SERVED,False,0,10000,accounting pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Dentists,ENABLED,2490321766769,ENABLED,RARELY_SERVED,False,0,10000,dentist pllc ny,EXACT,APPROVED
02_Professions_NY,PAUSED,Dentists,ENABLED,2492053554135,ENABLED,ELIGIBLE,False,0,10000,dental practice pllc,EXACT,APPROVED
02_Professions_NY,PAUSED,Dentists,ENABLED,2492178406303,ENABLED,ELIGIBLE,False,0,10000,dental pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Engineers,ENABLED,2492348523996,ENABLED,RARELY_SERVED,False,0,10000,pe pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,Engineers,ENABLED,2492466826450,ENABLED,ELIGIBLE,False,0,10000,engineering pllc new york,EXACT,APPROVED
02_Professions_NY,PAUSED,MHC-LMHC,ENABLED,2201578986698,ENABLED,ELIGIBLE,False,0,10000,lmhc pllc,EXACT,APPROVED
02_Professions_NY,PAUSED,MHC-LMHC,ENABLED,2317042816035,ENABLED,ELIGIBLE,False,0,10000,mental health counselor pllc,EXACT,APPROVED
