segments.date,campaign.name,campaign.status,ad_group.id,ad_group.name,ad_group.status,ad_group.type,ad_group.cpc_bid_micros,ad_group.effective_cpc_bid_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-07-09,01_Core_Exact_NY,ENABLED,201832405641,Brand,ENABLED,SEARCH_STANDARD,10000,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-09,01_Core_Exact_NY,ENABLED,201832402041,Formation-Core,ENABLED,SEARCH_STANDARD,10000,0,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0
2026-07-09,Sales-Search-1,ENABLED,190466421307,NY PLLC Formation,ENABLED,SEARCH_STANDARD,10000,0,67,5,0.07462686567164178,9276597.4,46382987,2.0,2.0,5.0,23191493.5,0.4,0.1320754716981132,0.6981132075471698
2026-07-10,01_Core_Exact_NY,ENABLED,201832402041,Formation-Core,ENABLED,SEARCH_STANDARD,10000,0,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
2026-07-10,Sales-Search-1,ENABLED,190466421307,NY PLLC Formation,ENABLED,SEARCH_STANDARD,10000,0,48,1,0.020833333333333332,10550000.0,10550000,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.7894736842105263
2026-07-11,01_Core_Exact_NY,ENABLED,201832402041,Formation-Core,ENABLED,SEARCH_STANDARD,10000,0,4,1,0.25,780000.0,780000,0.0,0.0,1.0,0.0,0.0,0.25,1.0
2026-07-11,Sales-Search-1,ENABLED,190466421307,NY PLLC Formation,ENABLED,SEARCH_STANDARD,10000,0,31,1,0.03225806451612903,3570000.0,3570000,0.0,0.0,0.0,0.0,0.0,0.12,0.8
2026-07-12,01_Core_Exact_NY,ENABLED,201832402041,Formation-Core,ENABLED,SEARCH_STANDARD,10000,0,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2026-07-12,Sales-Search-1,ENABLED,190466421307,NY PLLC Formation,ENABLED,SEARCH_STANDARD,10000,0,36,1,0.027777777777777776,3260000.0,3260000,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666
