segments.date,segments.hour,campaign.name,campaign.status,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-04-12,14,Sales-Search-1,ENABLED,6,2,0.3333333333333333,7680000.0,15360000,0.0,0.16666666666666666,0.8333333333333334
2026-04-12,15,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-12,16,Sales-Search-1,ENABLED,4,1,0.25,2120000.0,2120000,0.0,0.3333333333333333,1.0
2026-04-12,17,Sales-Search-1,ENABLED,8,2,0.25,20170000.0,40340000,0.0,0.14285714285714285,0.7142857142857143
2026-04-12,18,Sales-Search-1,ENABLED,7,2,0.2857142857142857,7115000.0,14230000,0.0,0.2,0.8
2026-04-12,20,Sales-Search-1,ENABLED,3,1,0.3333333333333333,12540000.0,12540000,1.0,0.0,1.0
2026-04-12,21,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,0.6666666666666666
2026-04-12,22,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-12,23,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-13,0,Sales-Search-1,ENABLED,7,0,0.0,0.0,0,0.0,0.25,1.0
2026-04-13,1,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-13,2,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,0.6666666666666666
2026-04-13,4,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-13,5,Sales-Search-1,ENABLED,9,1,0.1111111111111111,4437462.0,4437462,0.0,0.0,1.0
2026-04-13,6,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-13,7,Sales-Search-1,ENABLED,5,1,0.2,9795397.0,9795397,0.0,0.25,0.5
2026-04-13,8,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,0.25
2026-04-13,9,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.0,0.8
