segments.date,campaign.name,campaign.status,ad_group.name,geographic_view.country_criterion_id,geographic_view.location_type,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-06-12,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,21,2,0.09523809523809523,4692810.0,9385620,0.0
2026-06-12,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,37,6,0.16216216216216217,4337990.166666667,26027941,1.0
2026-06-13,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,15,2,0.13333333333333333,7295000.0,14590000,1.0
2026-06-13,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,15,2,0.13333333333333333,11780000.0,23560000,0.0
2026-06-14,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,17,0,0.0,0.0,0,0.0
2026-06-14,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,29,4,0.13793103448275862,4977357.0,19909428,0.0
2026-06-15,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,50,3,0.06,8360000.0,25080000,0.0
2026-06-15,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,81,2,0.024691358024691357,13970000.0,27940000,0.0
2026-06-16,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,33,3,0.09090909090909091,9230344.666666666,27691034,0.5
2026-06-16,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,77,8,0.1038961038961039,11770406.5,94163252,1.5
2026-06-17,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,68,3,0.04411764705882353,9826666.666666666,29480000,1.0
2026-06-17,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,86,8,0.09302325581395349,8987195.0,71897560,1.0
2026-06-18,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,59,3,0.05084745762711865,10040000.0,30120000,0.0
2026-06-18,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,79,6,0.0759493670886076,11301593.0,67809558,1.666666
2026-06-19,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,19,1,0.05263157894736842,5560000.0,5560000,0.0
2026-06-19,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,23,1,0.043478260869565216,1420000.0,1420000,0.333334
2026-06-20,Sales-Search-1,ENABLED,NY PLLC Formation,2840,AREA_OF_INTEREST,9,1,0.1111111111111111,6260000.0,6260000,0.0
2026-06-20,Sales-Search-1,ENABLED,NY PLLC Formation,2840,LOCATION_OF_PRESENCE,19,0,0.0,0.0,0,0.0
