segments.date,campaign.name,ad_group.name,ad_group_ad.ad.id,ad_group_ad.ad.type,ad_group_ad.ad.name,ad_group_ad.status,ad_group_ad.ad.final_urls,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-07-12,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],41,1,0.024390243902439025,3260000.0,3260000,0.0
2026-07-13,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],3,0,0.0,0.0,0,0.0
2026-07-13,01_Core_Exact_NY,Cost-Price,816286168247,RESPONSIVE_SEARCH_AD,Cost-Price — unpinned,ENABLED,['https://www.nypllc.com/order'],1,0,0.0,0.0,0,0.0
2026-07-13,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],6,0,0.0,0.0,0,0.0
2026-07-13,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],2,0,0.0,0.0,0,0.0
2026-07-13,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],63,3,0.047619047619047616,11952432.0,35857296,0.0
2026-07-14,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],3,0,0.0,0.0,0,0.0
2026-07-14,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],4,0,0.0,0.0,0,0.0
2026-07-14,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],9,2,0.2222222222222222,5755000.0,11510000,0.0
2026-07-14,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],9,1,0.1111111111111111,29380000.0,29380000,0.0
2026-07-14,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],64,5,0.078125,9936000.0,49680000,1.0
2026-07-15,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],3,0,0.0,0.0,0,0.0
2026-07-15,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,1,0.3333333333333333,14020000.0,14020000,0.0
2026-07-15,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],12,2,0.16666666666666666,4790000.0,9580000,0.0
2026-07-15,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],73,6,0.0821917808219178,16372034.333333334,98232206,2.0
2026-07-16,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-07-16,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],7,0,0.0,0.0,0,0.0
2026-07-16,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],4,0,0.0,0.0,0,0.0
2026-07-16,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],63,8,0.12698412698412698,11891113.125,95128905,1.0
2026-07-17,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-07-17,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],2,1,0.5,2480000.0,2480000,0.0
2026-07-17,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],6,0,0.0,0.0,0,0.0
2026-07-17,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,0,0.0,0.0,0,0.0
2026-07-17,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],32,3,0.09375,7863333.333333333,23590000,0.0
2026-07-18,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],5,1,0.2,6010000.0,6010000,0.0
2026-07-18,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],18,0,0.0,0.0,0,0.0
2026-07-19,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],2,0,0.0,0.0,0,0.0
2026-07-19,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-19,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-19,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],44,0,0.0,0.0,0,0.0
2026-07-20,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],2,0,0.0,0.0,0,0.0
2026-07-20,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],3,2,0.6666666666666666,13910000.0,27820000,0.0
2026-07-20,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,0,0.0,0.0,0,0.0
2026-07-20,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-20,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,0,0.0,0.0,0,0.0
2026-07-20,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],66,7,0.10606060606060606,11996027.142857144,83972190,0.0
2026-07-21,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],1,1,1.0,5540000.0,5540000,0.0
2026-07-21,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-07-21,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],4,0,0.0,0.0,0,0.0
2026-07-21,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],55,4,0.07272727272727272,9572500.0,38290000,1.0
2026-07-22,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],2,0,0.0,0.0,0,0.0
2026-07-22,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-07-22,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],5,0,0.0,0.0,0,0.0
2026-07-22,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],4,1,0.25,3970000.0,3970000,0.0
2026-07-22,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-22,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],75,6,0.08,6190204.833333333,37141229,0.0
2026-07-23,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],2,1,0.5,14400000.0,14400000,0.0
2026-07-23,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],2,0,0.0,0.0,0,0.0
2026-07-23,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,0,0.0,0.0,0,0.0
2026-07-23,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-07-23,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,1,1.0,10390000.0,10390000,0.0
2026-07-23,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],73,9,0.1232876712328767,5300429.222222222,47703863,0.0
2026-07-24,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-07-24,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],6,1,0.16666666666666666,7520000.0,7520000,0.0
2026-07-24,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
